appid,pos_reviews,neg_reviews,total_reviews,review_score_desc
230820,840,122,962,Very Positive
798460,1544,264,1808,Very Positive
1873760,9,1,10,Positive
493520,18856,2352,21208,Very Positive
1533420,8281,115,8396,Overwhelmingly Positive
463930,211,6,217,Very Positive
2101430,313,22,335,Very Positive
710920,2513,402,2915,Very Positive
1637320,4959,433,5392,Very Positive
1162206,13,3,16,Positive
223470,31284,981,32265,Overwhelmingly Positive
1307690,121,32,153,Mostly Positive
449394,2,0,2,2 user reviews
635200,250,152,402,Mixed
508170,84,23,107,Mostly Positive
600130,571,70,641,Very Positive
1084640,472,18,490,Very Positive
2100430,38,9,47,Positive
219910,668,122,790,Very Positive
530620,154,27,181,Very Positive
1306630,813,115,928,Very Positive
649950,956,433,1389,Mixed
320140,1272,139,1411,Very Positive
214340,2109,593,2702,Mostly Positive
960910,2041,508,2549,Very Positive
671440,1317,443,1760,Mostly Positive
389730,25580,2603,28183,Very Positive
1684600,1,1,2,2 user reviews
1245620,277572,19312,296884,Very Positive
202750,1781,659,2440,Mostly Positive
222593,47,12,59,Mostly Positive
423230,5233,425,5658,Very Positive
2144481,33,11,44,Mostly Positive
1438210,29,34,63,Mixed
676760,11,22,33,Mostly Negative
401710,286,121,407,Mostly Positive
1303182,915,1086,2001,Mixed
203140,8728,1404,10132,Very Positive
341940,5769,1436,7205,Very Positive
2362300,299,124,423,Mostly Positive
508440,64205,1209,65414,Overwhelmingly Positive
475550,2087,477,2564,Very Positive
1569190,181,29,210,Very Positive
829590,1019,325,1344,Mostly Positive
1522090,373,356,729,Mixed
228380,14087,2155,16242,Very Positive
651440,43,79,122,Mostly Negative
21037,0,0,0,No user reviews
33642,0,0,0,No user reviews
1590910,1052,155,1207,Very Positive
1084160,3051,394,3445,Very Positive
243450,343,109,452,Mostly Positive
784080,5693,1053,6746,Very Positive
920566,0,0,0,No user reviews
21037,0,0,0,No user reviews
1278260,42,51,93,Mixed
1531473,8,1,9,9 user reviews
393380,57730,9299,67029,Very Positive
617830,4189,946,5135,Very Positive
132479,0,0,0,No user reviews
27477,0,0,0,No user reviews
1281590,2143,210,2353,Very Positive
2192770,0,0,0,No user reviews
1102130,2623,196,2819,Very Positive
1041920,644,35,679,Very Positive
2145870,11,5,16,Mixed
1658040,655,69,724,Very Positive
858210,6399,197,6596,Overwhelmingly Positive
291030,63,44,107,Mixed
1272160,1810,198,2008,Very Positive
264730,395,158,553,Mostly Positive
757310,2420,371,2791,Very Positive
1580050,139,19,158,Very Positive
741350,261,92,353,Mostly Positive
1205240,119,15,134,Very Positive
2115770,109,24,133,Very Positive
812550,99,39,138,Mostly Positive
1348660,453,502,955,Mixed
234140,18647,1877,20524,Very Positive
424840,14189,881,15070,Very Positive
1527950,7563,898,8461,Very Positive
1158100,417,544,961,Mixed
526160,1208,523,1731,Mixed
1236720,513,46,559,Very Positive
398710,1528,131,1659,Very Positive
1570070,225,76,301,Mostly Positive
2649240,0,0,0,No user reviews
2436841,8,0,8,8 user reviews
865610,774,436,1210,Mixed
2148901,45,24,69,Mixed
616191,50,12,62,Very Positive
39500,1153,515,1668,Mixed
1291340,9270,328,9598,Overwhelmingly Positive
559650,2732,208,2940,Very Positive
294100,87312,1636,88948,Overwhelmingly Positive
2062120,0,0,0,No user reviews
2023240,14,1,15,Positive
1021790,628,320,948,Mixed
588650,34400,1223,35623,Overwhelmingly Positive
328760,763,59,822,Very Positive
455700,31,14,45,Mixed
628670,1168,278,1446,Very Positive
6375,0,0,0,No user reviews
1110910,1889,679,2568,Mostly Positive
338120,29,31,60,Mixed
1880650,450,750,1200,Mostly Negative
830820,545,54,599,Very Positive
1621690,10358,532,10890,Overwhelmingly Positive
761620,675,132,807,Very Positive
1656780,1483,357,1840,Very Positive
1172470,805,128,933,Very Positive
1296880,4,3,7,7 user reviews
678960,14328,1923,16251,Very Positive
1321220,0,4,4,4 user reviews
970830,1583,303,1886,Very Positive
1581770,628,144,772,Very Positive
418240,7720,380,8100,Overwhelmingly Positive
1722280,44,19,63,Mixed
326340,67,31,98,Mixed
1112890,2155,218,2373,Very Positive
1144200,55484,5114,60598,Very Positive
21037,0,0,0,No user reviews
281990,55254,6691,61945,Very Positive
1020540,27,37,64,Mixed
943380,127,28,155,Very Positive
1130410,1251,48,1299,Overwhelmingly Positive
1172470,805,128,933,Very Positive
12458,0,0,0,No user reviews
2237250,9,4,13,Mixed
322210,746,84,830,Very Positive
1222140,22195,1519,23714,Very Positive
1143810,672,155,827,Very Positive
673880,6190,443,6633,Very Positive
1573740,5,6,11,Mixed
1245620,277572,19312,296884,Very Positive
261550,71926,9994,81920,Very Positive
268240,17,7,24,Mostly Positive
437630,380,119,499,Mostly Positive
1163550,627,269,896,Mixed
1430990,81,42,123,Mixed
490820,81,22,103,Mostly Positive
702670,4373,481,4854,Very Positive
6253,0,0,0,No user reviews
960990,3397,610,4007,Very Positive
1966480,5,6,11,Mixed
1726380,158,148,306,Mixed
1227530,1080,305,1385,Mostly Positive
860510,9947,611,10558,Very Positive
1196550,1,0,1,1 user reviews
501580,3,0,3,3 user reviews
615530,137,35,172,Mostly Positive
1204130,209,7,216,Very Positive
235460,30914,1375,32289,Overwhelmingly Positive
2597,0,0,0,No user reviews
1585440,161,68,229,Mostly Positive
1348661,1003,334,1337,Mostly Positive
388410,2979,1034,4013,Mostly Positive
1694801,19,20,39,Mixed
255710,82246,6046,88292,Very Positive
1958170,42,4,46,Positive
774511,150,93,243,Mixed
1392840,1592,294,1886,Very Positive
377560,21,8,29,Mostly Positive
1173690,2,0,2,2 user reviews
486810,54,8,62,Very Positive
1723950,110,81,191,Mixed
2192770,0,0,0,No user reviews
784150,4181,368,4549,Very Positive
1330480,23,4,27,Positive
252350,777,197,974,Mostly Positive
477160,25570,1241,26811,Overwhelmingly Positive
753640,29609,1491,31100,Overwhelmingly Positive
349040,14159,1529,15688,Very Positive
1303182,915,1086,2001,Mixed
1602080,430,84,514,Very Positive
312520,13003,736,13739,Very Positive
343440,408,59,467,Very Positive
1672210,28,18,46,Mixed
1233420,16,8,24,Mixed
1461160,0,0,0,No user reviews
1522820,3404,570,3974,Very Positive
361360,144,15,159,Very Positive
599140,11212,2080,13292,Very Positive
1184370,11101,2499,13600,Very Positive
1347780,888,49,937,Very Positive
597820,5570,2248,7818,Mostly Positive
286460,148,14,162,Very Positive
1202130,3963,506,4469,Very Positive
346110,185761,45197,230958,Very Positive
308040,162,54,216,Mostly Positive
393380,57730,9299,67029,Very Positive
406720,62,47,109,Mixed
461010,54,16,70,Mostly Positive
394360,84064,7323,91387,Very Positive
1278760,7,1,8,8 user reviews
1172470,805,128,933,Very Positive
2192770,0,0,0,No user reviews
321260,82,104,186,Mixed
618490,7,9,16,Mixed
1205240,119,15,134,Very Positive
1725340,40,5,45,Positive
335300,21194,4260,25454,Very Positive
633230,14327,2238,16565,Very Positive
572430,331,142,473,Mixed
1205240,119,15,134,Very Positive
1425820,47,16,63,Mostly Positive
1205240,119,15,134,Very Positive
1658001,6,19,25,Mostly Negative
473670,30,32,62,Mixed
780290,7415,1375,8790,Very Positive
384680,147,24,171,Very Positive
1105590,116,53,169,Mixed
1451460,161,5,166,Very Positive
359390,1717,153,1870,Very Positive
447890,143,54,197,Mostly Positive
988240,17,11,28,Mixed
282070,17424,1306,18730,Very Positive
241910,446,93,539,Very Positive
570940,28061,3124,31185,Very Positive
28814,0,0,0,No user reviews
20566,0,0,0,No user reviews
282070,17424,1306,18730,Very Positive
866800,4730,365,5095,Very Positive
94174,0,0,0,No user reviews
1059340,0,0,0,No user reviews
275850,103260,33142,136402,Mostly Positive
1425250,171,34,205,Very Positive
420610,261,180,441,Mixed
914120,0,0,0,No user reviews
547502,355,61,416,Very Positive
526540,26,17,43,Mixed
1787480,11,10,21,Mixed
2114760,345,420,765,Mixed
1222090,3,0,3,3 user reviews
2124590,9,5,14,Mixed
2507940,1,0,1,1 user reviews
1543420,30,3,33,Positive
314830,187,108,295,Mixed
351920,2145,145,2290,Very Positive
102600,3154,110,3264,Overwhelmingly Positive
1325890,130,41,171,Mostly Positive
2380030,345,189,534,Mixed
429570,1532,485,2017,Mostly Positive
580570,6,3,9,9 user reviews
258890,233,61,294,Mostly Positive
1713340,1,0,1,1 user reviews
1271310,5,3,8,8 user reviews
33520,344,47,391,Very Positive
622890,17,14,31,Mixed
1949190,1411,234,1645,Very Positive
253370,69,39,108,Mixed
941300,7,0,7,7 user reviews
2183900,0,0,0,No user reviews
1205240,119,15,134,Very Positive
1529220,12,2,14,Positive
899310,191,54,245,Mostly Positive
1205240,119,15,134,Very Positive
615970,8,4,12,Mixed
2277860,118,141,259,Mixed
1599600,7856,238,8094,Overwhelmingly Positive
2225941,3,5,8,8 user reviews
972660,12876,616,13492,Overwhelmingly Positive
1301950,81,18,99,Very Positive
521890,3312,915,4227,Mostly Positive
1172470,805,128,933,Very Positive
503940,2802,685,3487,Very Positive
1286830,246,40,286,Very Positive
597180,1357,275,1632,Very Positive
2261140,0,0,0,No user reviews
1802470,97,65,162,Mixed
1139110,76,8,84,Very Positive
392280,90,79,169,Mixed
503560,4379,614,4993,Very Positive
515191,396,122,518,Mostly Positive
397690,137,30,167,Very Positive
1338964,0,0,0,No user reviews
2192770,0,0,0,No user reviews
1129580,11645,1333,12978,Very Positive
1708680,117,45,162,Mostly Positive
359230,329,191,520,Mixed
315660,1226,328,1554,Mostly Positive
2064590,126,107,233,Mixed
636500,8,2,10,Positive
1804460,70,59,129,Mixed
352890,121,49,170,Mostly Positive
2192770,0,0,0,No user reviews
2020030,132,6,138,Very Positive
238870,28,208,236,Very Negative
1205240,119,15,134,Very Positive
269790,1217,356,1573,Mostly Positive
640920,145,23,168,Very Positive
1816780,32,78,110,Mostly Negative
1354910,180,11,191,Very Positive
2266770,45,14,59,Mostly Positive
1205240,119,15,134,Very Positive
783170,158,123,281,Mixed
1049940,10,10,20,Mixed
466560,16852,2534,19386,Very Positive
1317230,77,64,141,Mixed
1113120,4610,1083,5693,Very Positive
1334010,165,76,241,Mixed
1140100,39,20,59,Mixed
525040,229,23,252,Very Positive
1788370,51,66,117,Mixed
415350,102,24,126,Very Positive
1299480,37,20,57,Mixed
1634100,32,3,35,Positive
46570,45,59,104,Mixed
2184800,15,4,19,Mostly Positive
1335790,1604,125,1729,Very Positive
761600,866,42,908,Overwhelmingly Positive
518910,229,52,281,Very Positive
1244800,1063,118,1181,Very Positive
1919040,55,8,63,Very Positive
663120,3,0,3,3 user reviews
1874870,9,3,12,Mostly Positive
1210320,9433,709,10142,Very Positive
1669000,4792,1003,5795,Very Positive
505230,3360,253,3613,Very Positive
360960,1466,68,1534,Overwhelmingly Positive
1163770,100,33,133,Mostly Positive
496300,3169,500,3669,Very Positive
40970,4739,134,4873,Overwhelmingly Positive
715194,235,122,357,Mixed
529340,9273,4796,14069,Mixed
851850,13210,1125,14335,Very Positive
439910,70,19,89,Mostly Positive
421050,661,175,836,Mostly Positive
1283190,488,30,518,Very Positive
892970,209837,10013,219850,Overwhelmingly Positive
1040420,1081,91,1172,Very Positive
108710,10484,1267,11751,Very Positive
3260,158,121,279,Mixed
449394,2,0,2,2 user reviews
1266700,944,267,1211,Mostly Positive
245280,2053,395,2448,Very Positive
1011670,309,86,395,Mostly Positive
574310,134,33,167,Very Positive
369000,136,62,198,Mixed
1041720,2663,762,3425,Mostly Positive
626550,23,44,67,Mostly Negative
1096530,10024,1310,11334,Very Positive
2100431,90,35,125,Mostly Positive
23841,0,0,0,No user reviews
438490,1412,234,1646,Very Positive
1056690,71,10,81,Very Positive
446800,3277,786,4063,Very Positive
1846460,353,17,370,Very Positive
699130,3368,580,3948,Very Positive
563190,82,7,89,Very Positive
42910,6831,1145,7976,Very Positive
475150,6211,640,6851,Very Positive
512900,7027,243,7270,Overwhelmingly Positive
2474860,102,57,159,Mixed
2440700,6,1,7,7 user reviews
604330,426,17,443,Very Positive
12749,0,0,0,No user reviews
871530,507,193,700,Mostly Positive
914710,1268,49,1317,Overwhelmingly Positive
2130950,21,10,31,Mixed
824610,24,5,29,Positive
689800,9,20,29,Mostly Negative
751820,129,55,184,Mostly Positive
1785150,3684,603,4287,Very Positive
860620,38,58,96,Mostly Negative
554800,36,8,44,Positive
1045980,173,53,226,Mostly Positive
939850,2078,762,2840,Mostly Positive
1123050,1506,161,1667,Very Positive
1392840,1592,294,1886,Very Positive
1367590,1395,116,1511,Very Positive
36633,0,0,0,No user reviews
609920,370,134,504,Mostly Positive
366270,42,9,51,Very Positive
5879,0,0,0,No user reviews
452060,1226,185,1411,Very Positive
1354830,845,108,953,Very Positive
1284130,60,8,68,Very Positive
1071870,1068,101,1169,Very Positive
374320,83997,5771,89768,Very Positive
2008400,89,72,161,Mixed
1158310,32966,2740,35706,Very Positive
46500,1013,180,1193,Very Positive
19000,373,487,860,Mixed
19080,3,9,12,Mostly Negative
1229880,38,11,49,Mostly Positive
429660,5237,438,5675,Very Positive
1016800,3794,656,4450,Very Positive
496460,1271,774,2045,Mixed
275060,26,84,110,Mostly Negative
580020,61,140,201,Mostly Negative
814580,2,0,2,2 user reviews
493540,284,52,336,Very Positive
253650,515,277,792,Mixed
1383960,148,35,183,Very Positive
535480,1626,335,1961,Very Positive
24480,114,90,204,Mixed
1161590,593,121,714,Very Positive
8038,0,0,0,No user reviews
31100,107,12,119,Very Positive
2228030,25,16,41,Mixed
1191630,604,68,672,Very Positive
528610,186,86,272,Mixed
1158220,163,17,180,Very Positive
1888160,27579,1927,29506,Very Positive
1339000,443,64,507,Very Positive
1045840,78,35,113,Mixed
1194630,1613,721,2334,Mixed
2311920,578,154,732,Mostly Positive
678960,14328,1923,16251,Very Positive
346110,185761,45197,230958,Very Positive
366910,271,266,537,Mixed
348430,66,3,69,Very Positive
282070,17424,1306,18730,Very Positive
241760,67,33,100,Mixed
1956040,723,210,933,Mostly Positive
701160,5814,613,6427,Very Positive
1726381,28,9,37,Mostly Positive
1232570,279,13,292,Very Positive
39680,1182,312,1494,Mostly Positive
1058650,2669,1031,3700,Mostly Positive
707030,4151,1405,5556,Mostly Positive
386770,88,26,114,Mostly Positive
1057750,1365,779,2144,Mixed
331870,1642,230,1872,Very Positive
1749080,317,30,347,Very Positive
356570,2437,388,2825,Very Positive
1049590,17,1,18,Positive
1708680,117,45,162,Mostly Positive
674940,46034,2706,48740,Very Positive
239250,1121,315,1436,Mostly Positive
39510,1634,245,1879,Very Positive
247950,184,549,733,Mostly Negative
4307,0,0,0,No user reviews
269330,156,22,178,Very Positive
1416420,360,2473,2833,Overwhelmingly Negative
1405790,106,47,153,Mixed
900040,833,314,1147,Mostly Positive
606710,341,23,364,Very Positive
1787480,11,10,21,Mixed
2673080,16,6,22,Mostly Positive
530760,396,457,853,Mixed
215930,278,117,395,Mostly Positive
941965,0,0,0,No user reviews
1162130,341,208,549,Mixed
2224691,15,7,22,Mixed
941965,0,0,0,No user reviews
1087429,12,1,13,Positive
1146930,144,90,234,Mixed
1726383,11,11,22,Mixed
1205240,119,15,134,Very Positive
1593780,83,11,94,Very Positive
936500,236,105,341,Mixed
1731070,579,135,714,Very Positive
353640,1004,140,1144,Very Positive
738540,1248,221,1469,Very Positive
505170,871,235,1106,Mostly Positive
699740,51,44,95,Mixed
1066780,6574,834,7408,Very Positive
726950,23,30,53,Mixed
289800,55,68,123,Mixed
294100,87312,1636,88948,Overwhelmingly Positive
2996,0,0,0,No user reviews
1172470,805,128,933,Very Positive
441680,15,16,31,Mixed
238370,1975,699,2674,Mostly Positive
1888160,27579,1927,29506,Very Positive
1726190,578,40,618,Very Positive
314790,312,99,411,Mostly Positive
257830,137,115,252,Mixed
1399700,48,21,69,Mixed
16236,0,0,0,No user reviews
12320,786,224,1010,Mostly Positive
220740,527,100,627,Very Positive
3270,179,94,273,Mixed
2243210,16,1,17,Positive
215790,41,155,196,Mostly Negative
1702430,17,5,22,Mostly Positive
442010,416,171,587,Mostly Positive
1331210,285,34,319,Very Positive
589360,3253,666,3919,Very Positive
250320,14857,372,15229,Overwhelmingly Positive
1114040,2,0,2,2 user reviews
1725350,5,2,7,7 user reviews
2378500,2002,90,2092,Overwhelmingly Positive
1528442,0,1,1,1 user reviews
1803780,5,3,8,8 user reviews
1221250,1081,68,1149,Very Positive
571720,89,35,124,Mostly Positive
637,0,0,0,No user reviews
2268220,0,1,1,1 user reviews
1368130,150,120,270,Mixed
401710,286,121,407,Mostly Positive
1033080,71,11,82,Very Positive
762830,356,210,566,Mixed
366870,415,141,556,Mostly Positive
1079830,86,33,119,Mostly Positive
1303184,245,188,433,Mixed
595550,25,17,42,Mixed
1132030,29,15,44,Mixed
286830,7,37,44,Negative
1356280,343,89,432,Mostly Positive
1449310,16,16,32,Mixed
613100,36205,2239,38444,Very Positive
443810,1949,687,2636,Mostly Positive
904380,122,52,174,Mostly Positive
1545560,953,44,997,Overwhelmingly Positive
844810,208,83,291,Mostly Positive
330420,49,11,60,Very Positive
192166,0,0,0,No user reviews
1097200,2067,894,2961,Mixed
12430,18,53,71,Mostly Negative
1052970,17,3,20,Positive
881960,7,3,10,Mostly Positive
346791,43,64,107,Mixed
785740,739,423,1162,Mixed
807120,2170,371,2541,Very Positive
245620,3506,1095,4601,Mostly Positive
1063310,72,20,92,Mostly Positive
1021110,172,46,218,Mostly Positive
2192770,0,0,0,No user reviews
2524160,25,0,25,Positive
1146600,76,30,106,Mostly Positive
361280,3864,298,4162,Very Positive
335300,21195,4260,25455,Very Positive
969990,7902,354,8256,Overwhelmingly Positive
1692280,13,2,15,Positive
311290,1859,644,2503,Mostly Positive
65600,84,132,216,Mostly Negative
1581420,4,2,6,6 user reviews
393460,4,7,11,Mostly Negative
2145870,11,5,16,Mixed
606280,2878,860,3738,Mostly Positive
1472560,462,158,620,Mostly Positive
1479890,18,3,21,Positive
702350,632,222,854,Mostly Positive
1323470,239,51,290,Very Positive
1172540,14,10,24,Mixed
11342,0,0,0,No user reviews
1095120,77,8,85,Very Positive
344480,145,4,149,Very Positive
859350,23,11,34,Mixed
1726382,18,10,28,Mixed
991560,274,214,488,Mixed
1193090,72,28,100,Mostly Positive
2065560,3,0,3,3 user reviews
498870,215,80,295,Mostly Positive
32620,236,26,262,Very Positive
1992291,11,3,14,Mostly Positive
253920,221,66,287,Mostly Positive
234670,2901,363,3264,Very Positive
358870,0,0,0,No user reviews
39510,1634,245,1879,Very Positive
39540,585,131,716,Very Positive
343100,256,113,369,Mixed
368390,1513,82,1595,Very Positive
959000,117,13,130,Very Positive
376300,868,72,940,Very Positive
2192770,0,0,0,No user reviews
1119980,1729,80,1809,Overwhelmingly Positive
2187290,2105,188,2293,Very Positive
1143650,74,61,135,Mixed
234270,1276,100,1376,Very Positive
1126050,140,44,184,Mostly Positive
91100,336,42,378,Very Positive
1454730,23,6,29,Mostly Positive
1018010,627,148,775,Very Positive
928990,92,34,126,Mostly Positive
1337760,1332,340,1672,Mostly Positive
527230,9238,1117,10355,Very Positive
754500,432,126,558,Mostly Positive
2192770,0,0,0,No user reviews
1694800,13,7,20,Mixed
1016920,3688,198,3886,Very Positive
888650,83,23,106,Mostly Positive
1622100,2454,277,2731,Very Positive
1148022,47,33,80,Mixed
322330,67917,2779,70696,Overwhelmingly Positive
108726,50,5,55,Very Positive
23420,82,53,135,Mixed
1358610,11,7,18,Mixed
32650,55,23,78,Mostly Positive
1592540,37,1,38,Positive
2012010,200,29,229,Very Positive
21208,0,0,0,No user reviews
1118240,1386,221,1607,Very Positive
1147550,4212,196,4408,Overwhelmingly Positive
1557180,17,2,19,Positive
1361510,4743,192,4935,Overwhelmingly Positive
944071,86,31,117,Mostly Positive
2062120,0,0,0,No user reviews
1220370,23,5,28,Positive
1631380,8,11,19,Mixed
1259360,279,273,552,Mixed
34077,0,0,0,No user reviews
692930,47,19,66,Mostly Positive
1552550,823,64,887,Very Positive
2192770,0,0,0,No user reviews
1202061,20,19,39,Mixed
2192770,0,0,0,No user reviews
1859470,446,30,476,Very Positive
381716,0,0,0,No user reviews
1247570,13,16,29,Mixed
15986,0,0,0,No user reviews
1205450,4898,240,5138,Overwhelmingly Positive
315660,1226,328,1554,Mostly Positive
1421790,174,6,180,Very Positive
401680,2116,142,2258,Very Positive
338130,64,31,95,Mixed
1892570,16,1,17,Positive
383270,548,39,587,Very Positive
1227700,1142,220,1362,Very Positive
21763,0,0,0,No user reviews
234080,1974,733,2707,Mostly Positive
3838,7,2,9,9 user reviews
1205240,119,15,134,Very Positive
842020,8,1,9,9 user reviews
537800,4842,631,5473,Very Positive
671510,1487,713,2200,Mixed
1227650,1083,34,1117,Overwhelmingly Positive
322190,1408,58,1466,Overwhelmingly Positive
1889980,69,119,188,Mostly Negative
1601350,24,23,47,Mixed
1431780,91,2,93,Very Positive
34077,0,0,0,No user reviews
340320,89,15,104,Very Positive
755500,1288,338,1626,Mostly Positive
616191,50,12,62,Very Positive
499460,113,35,148,Mostly Positive
1195360,50,15,65,Mostly Positive
1636660,30,15,45,Mixed
1578650,3290,187,3477,Very Positive
249650,696,484,1180,Mixed
606680,193,17,210,Very Positive
1907720,119,29,148,Very Positive
1062040,99,25,124,Mostly Positive
966670,49,12,61,Very Positive
102623,23,5,28,Positive
1186640,1719,117,1836,Very Positive
464920,7663,1444,9107,Very Positive
15892,0,0,0,No user reviews
602320,870,91,961,Very Positive
311260,1471,891,2362,Mixed
322500,13021,1435,14456,Very Positive
40970,4739,134,4873,Overwhelmingly Positive
1951230,339,4,343,Very Positive
1205240,119,15,134,Very Positive
2098230,3,0,3,3 user reviews
716640,248,89,337,Mostly Positive
2223660,158,135,293,Mixed
1433560,122,49,171,Mostly Positive
271850,57,51,108,Mixed
987840,1988,258,2246,Very Positive
31710,0,0,0,No user reviews
1992290,16,3,19,Positive
1094410,1,0,1,1 user reviews
688420,3470,231,3701,Very Positive
1055240,3,4,7,7 user reviews
1205240,119,15,134,Very Positive
571720,89,35,124,Mostly Positive
1016930,77,45,122,Mixed
1337010,1955,39,1994,Overwhelmingly Positive
1889981,140,80,220,Mixed
492720,7164,1083,8247,Very Positive
1205240,119,15,134,Very Positive
495140,1222,382,1604,Mostly Positive
1051410,52,8,60,Very Positive
925570,157,100,257,Mixed
323850,2706,445,3151,Very Positive
2109315,0,0,0,No user reviews
1432100,224,22,246,Very Positive
1279630,425,126,551,Mostly Positive
259340,66,32,98,Mixed
2154010,17,20,37,Mixed
402060,108,48,156,Mixed
960170,2625,400,3025,Very Positive
775500,3912,540,4452,Very Positive
964570,209,46,255,Very Positive
25890,2026,578,2604,Mostly Positive
41008,0,0,0,No user reviews
261030,10877,518,11395,Overwhelmingly Positive
967390,148,82,230,Mixed
1172470,805,128,933,Very Positive
1793051,41,33,74,Mixed
702110,106,9,115,Very Positive
243200,750,92,842,Very Positive
1154780,23,12,35,Mixed
222480,2192,410,2602,Very Positive
1072040,1198,246,1444,Very Positive
405050,4,7,11,Mostly Negative
815460,479,412,891,Mixed
1037910,37,15,52,Mostly Positive
1933390,853,53,906,Very Positive
1546060,5,1,6,6 user reviews
1282590,2127,613,2740,Mostly Positive
983970,1738,157,1895,Very Positive
1205240,119,15,134,Very Positive
939100,439,244,683,Mixed
70503,0,0,0,No user reviews
1164250,264,75,339,Mostly Positive
244850,54679,6223,60902,Very Positive
286810,94,49,143,Mixed
406970,378,190,568,Mixed
1652890,125,6,131,Very Positive
802450,62,10,72,Very Positive
1172470,805,128,933,Very Positive
801630,1918,110,2028,Very Positive
31648,0,0,0,No user reviews
2062120,0,0,0,No user reviews
259170,111,182,293,Mostly Negative
966330,1180,297,1477,Mostly Positive
1033890,415,513,928,Mixed
25014,0,0,0,No user reviews
760730,48,25,73,Mixed
39650,170,87,257,Mixed
625050,66,85,151,Mixed
305500,22,17,39,Mixed
1936590,26,13,39,Mixed
1450900,506,63,569,Very Positive
1351260,12,9,21,Mixed
207020,118,26,144,Very Positive
756010,154,123,277,Mixed
730430,99,49,148,Mixed
427100,791,408,1199,Mixed
748020,9,2,11,Positive
934780,406,144,550,Mostly Positive
1205240,119,15,134,Very Positive
1154040,435,56,491,Very Positive
496810,425,77,502,Very Positive
1410640,766,109,875,Very Positive
1288320,2243,579,2822,Mostly Positive
533330,15,17,32,Mixed
1317250,82,37,119,Mixed
2378500,2001,90,2091,Overwhelmingly Positive
1053710,214,33,247,Very Positive
259340,66,32,98,Mixed
1143820,8,4,12,Mixed
1592110,291,96,387,Mostly Positive
916250,33,5,38,Positive
231020,20,14,34,Mixed
2055140,91,9,100,Very Positive
692100,248,61,309,Very Positive
939850,2078,762,2840,Mostly Positive
1493470,19,29,48,Mostly Negative
